CaseMasterID,CrimeID,CaseID,IncidentID,RecordID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatus,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
693758,693758,693758,693758,693758,1044300062026693758,693758,2026-07-15 16:47:00,693758,17,1,2,4,1,2,2,99,2026-07-15 16:47:00,2026-07-15 16:47:00,2026-07-15 16:47:00,12.929131584519464,77.61792786488516,Vandalism of public property at Malleswaram.
693759,693759,693759,693759,693759,1044300062026693759,693759,2026-07-23 13:39:00,693759,5,1,2,9,1,2,2,99,2026-07-23 13:39:00,2026-07-23 13:39:00,2026-07-23 13:39:00,12.961770202679551,77.60474298218377,Assault incident at Whitefield.
693760,693760,693760,693760,693760,1044300062026693760,693760,2026-07-02 10:42:00,693760,2,1,2,5,1,3,3,99,2026-07-02 10:42:00,2026-07-02 10:42:00,2026-07-02 10:42:00,13.003915249481702,77.61897909330966,Vandalism of public property at Malleswaram.
693761,693761,693761,693761,693761,1044300062026693761,693761,2026-07-25 03:42:00,693761,15,1,2,2,1,2,2,99,2026-07-25 03:42:00,2026-07-25 03:42:00,2026-07-25 03:42:00,12.961249741942988,77.60189509840013,Burglary in residential apartment at Indiranagar.
693762,693762,693762,693762,693762,1044300062026693762,693762,2026-07-01 15:38:00,693762,13,1,2,9,1,4,4,99,2026-07-01 15:38:00,2026-07-01 15:38:00,2026-07-01 15:38:00,13.007491392502779,77.55023988721373,Vandalism of public property at Jayanagar.
693763,693763,693763,693763,693763,1044300062026693763,693763,2026-07-17 22:08:00,693763,16,1,2,2,1,2,2,99,2026-07-17 22:08:00,2026-07-17 22:08:00,2026-07-17 22:08:00,12.943209721723093,77.56650247382784,Stolen vehicle reported at MG Road.
693764,693764,693764,693764,693764,1044300062026693764,693764,2026-07-09 12:25:00,693764,12,1,2,7,1,3,3,99,2026-07-09 12:25:00,2026-07-09 12:25:00,2026-07-09 12:25:00,12.963845491959214,77.61334926473958,Stolen vehicle reported at Malleswaram.
693765,693765,693765,693765,693765,1044300062026693765,693765,2026-07-24 12:05:00,693765,3,1,2,2,1,4,4,99,2026-07-24 12:05:00,2026-07-24 12:05:00,2026-07-24 12:05:00,13.005149204816044,77.63509388953335,Vandalism of public property at Koramangala.
693766,693766,693766,693766,693766,1044300062026693766,693766,2026-07-16 04:50:00,693766,8,1,2,8,1,3,3,99,2026-07-16 04:50:00,2026-07-16 04:50:00,2026-07-16 04:50:00,12.972963584242493,77.63964026875581,Burglary in residential apartment at Indiranagar.
693767,693767,693767,693767,693767,1044300062026693767,693767,2026-07-04 05:09:00,693767,6,1,2,8,1,4,4,99,2026-07-04 05:09:00,2026-07-04 05:09:00,2026-07-04 05:09:00,12.923484284951472,77.56185023210797,Burglary in residential apartment at Malleswaram.
693768,693768,693768,693768,693768,1044300062026693768,693768,2026-07-08 06:34:00,693768,6,1,2,2,1,1,1,99,2026-07-08 06:34:00,2026-07-08 06:34:00,2026-07-08 06:34:00,12.990651977986195,77.61266943444221,Burglary in residential apartment at Indiranagar.
693769,693769,693769,693769,693769,1044300062026693769,693769,2026-07-22 18:50:00,693769,16,1,2,4,1,1,1,99,2026-07-22 18:50:00,2026-07-22 18:50:00,2026-07-22 18:50:00,12.959933981432645,77.59330217617827,Burglary in residential apartment at Malleswaram.
693770,693770,693770,693770,693770,1044300062026693770,693770,2026-07-23 08:13:00,693770,4,1,2,5,1,4,4,99,2026-07-23 08:13:00,2026-07-23 08:13:00,2026-07-23 08:13:00,12.921722650916907,77.63611926766774,Cyber fraud report from Jayanagar.
693771,693771,693771,693771,693771,1044300062026693771,693771,2026-07-10 21:56:00,693771,10,1,2,6,1,3,3,99,2026-07-10 21:56:00,2026-07-10 21:56:00,2026-07-10 21:56:00,12.931470716995138,77.59558070113268,Burglary in residential apartment at MG Road.
693772,693772,693772,693772,693772,1044300062026693772,693772,2026-07-19 07:40:00,693772,10,1,2,3,1,3,3,99,2026-07-19 07:40:00,2026-07-19 07:40:00,2026-07-19 07:40:00,13.000800002781688,77.64197491683889,Vandalism of public property at Indiranagar.
693773,693773,693773,693773,693773,1044300062026693773,693773,2026-07-17 19:56:00,693773,16,1,2,7,1,1,1,99,2026-07-17 19:56:00,2026-07-17 19:56:00,2026-07-17 19:56:00,12.974898190112318,77.56848127673999,Burglary in residential apartment at Whitefield.
693774,693774,693774,693774,693774,1044300062026693774,693774,2026-07-03 16:22:00,693774,2,1,2,7,1,4,4,99,2026-07-03 16:22:00,2026-07-03 16:22:00,2026-07-03 16:22:00,12.948735998557677,77.60217333017728,Assault incident at Indiranagar.
693775,693775,693775,693775,693775,1044300062026693775,693775,2026-07-22 07:41:00,693775,2,1,2,7,1,2,2,99,2026-07-22 07:41:00,2026-07-22 07:41:00,2026-07-22 07:41:00,12.989439720367425,77.60977980752344,Cyber fraud report from Malleswaram.
693776,693776,693776,693776,693776,1044300062026693776,693776,2026-07-25 01:22:00,693776,2,1,2,3,1,4,4,99,2026-07-25 01:22:00,2026-07-25 01:22:00,2026-07-25 01:22:00,12.987130086968026,77.57173852539819,Cyber fraud report from Jayanagar.
693777,693777,693777,693777,693777,1044300062026693777,693777,2026-07-10 13:38:00,693777,9,1,2,9,1,4,4,99,2026-07-10 13:38:00,2026-07-10 13:38:00,2026-07-10 13:38:00,12.927926211759708,77.6144503241273,Stolen vehicle reported at Whitefield.
693778,693778,693778,693778,693778,1044300062026693778,693778,2026-07-15 01:34:00,693778,13,1,2,3,1,1,1,99,2026-07-15 01:34:00,2026-07-15 01:34:00,2026-07-15 01:34:00,12.939889060158436,77.6146874644834,Assault incident at MG Road.
693779,693779,693779,693779,693779,1044300062026693779,693779,2026-07-11 10:50:00,693779,15,1,2,10,1,2,2,99,2026-07-11 10:50:00,2026-07-11 10:50:00,2026-07-11 10:50:00,13.009920548193092,77.57307208959959,Stolen vehicle reported at Whitefield.
693780,693780,693780,693780,693780,1044300062026693780,693780,2026-07-09 17:20:00,693780,20,1,2,2,1,3,3,99,2026-07-09 17:20:00,2026-07-09 17:20:00,2026-07-09 17:20:00,13.015688841807904,77.58931223157364,Burglary in residential apartment at Jayanagar.
693781,693781,693781,693781,693781,1044300062026693781,693781,2026-07-01 06:40:00,693781,14,1,2,5,1,2,2,99,2026-07-01 06:40:00,2026-07-01 06:40:00,2026-07-01 06:40:00,12.933366230617333,77.61175642417258,Burglary in residential apartment at Malleswaram.
693782,693782,693782,693782,693782,1044300062026693782,693782,2026-07-25 03:47:00,693782,7,1,2,9,1,1,1,99,2026-07-25 03:47:00,2026-07-25 03:47:00,2026-07-25 03:47:00,12.971762629146603,77.61929876752139,Assault incident at Malleswaram.
693783,693783,693783,693783,693783,1044300062026693783,693783,2026-07-06 03:17:00,693783,20,1,2,1,1,1,1,99,2026-07-06 03:17:00,2026-07-06 03:17:00,2026-07-06 03:17:00,12.973339448618288,77.56921662792045,Cyber fraud report from MG Road.
693784,693784,693784,693784,693784,1044300062026693784,693784,2026-07-11 09:20:00,693784,17,1,2,9,1,2,2,99,2026-07-11 09:20:00,2026-07-11 09:20:00,2026-07-11 09:20:00,12.968805342629102,77.56941227238396,Assault incident at Jayanagar.
693785,693785,693785,693785,693785,1044300062026693785,693785,2026-07-24 21:31:00,693785,3,1,2,10,1,2,2,99,2026-07-24 21:31:00,2026-07-24 21:31:00,2026-07-24 21:31:00,12.941261643547366,77.56611352415901,Assault incident at Jayanagar.
693786,693786,693786,693786,693786,1044300062026693786,693786,2026-07-13 14:08:00,693786,19,1,2,9,1,4,4,99,2026-07-13 14:08:00,2026-07-13 14:08:00,2026-07-13 14:08:00,12.934943142213484,77.63384905154281,Burglary in residential apartment at Indiranagar.
693787,693787,693787,693787,693787,1044300062026693787,693787,2026-07-13 14:29:00,693787,11,1,2,7,1,1,1,99,2026-07-13 14:29:00,2026-07-13 14:29:00,2026-07-13 14:29:00,12.975673227933749,77.54675074238678,Stolen vehicle reported at Jayanagar.
693788,693788,693788,693788,693788,1044300062026693788,693788,2026-07-22 03:02:00,693788,8,1,2,1,1,1,1,99,2026-07-22 03:02:00,2026-07-22 03:02:00,2026-07-22 03:02:00,12.975369181725387,77.61926716931518,Cyber fraud report from Indiranagar.
693789,693789,693789,693789,693789,1044300062026693789,693789,2026-07-04 15:01:00,693789,10,1,2,1,1,2,2,99,2026-07-04 15:01:00,2026-07-04 15:01:00,2026-07-04 15:01:00,12.926404469679182,77.57288979613763,Vandalism of public property at MG Road.
693790,693790,693790,693790,693790,1044300062026693790,693790,2026-07-17 04:06:00,693790,5,1,2,5,1,2,2,99,2026-07-17 04:06:00,2026-07-17 04:06:00,2026-07-17 04:06:00,13.003789573641964,77.62309554580712,Stolen vehicle reported at Malleswaram.
693791,693791,693791,693791,693791,1044300062026693791,693791,2026-07-12 02:06:00,693791,10,1,2,3,1,3,3,99,2026-07-12 02:06:00,2026-07-12 02:06:00,2026-07-12 02:06:00,12.970235548469976,77.64118661007602,Assault incident at Koramangala.
693792,693792,693792,693792,693792,1044300062026693792,693792,2026-07-20 21:01:00,693792,2,1,2,1,1,1,1,99,2026-07-20 21:01:00,2026-07-20 21:01:00,2026-07-20 21:01:00,12.946321929245174,77.60317175759697,Cyber fraud report from Whitefield.
