UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
203927,Police Station 203927,203927,203927,1,1,1,True
271251,Police Station 271251,271251,271251,1,1,1,True
202743,Police Station 202743,202743,202743,1,1,1,True
264286,Police Station 264286,264286,264286,1,1,1,True
204610,Police Station 204610,204610,204610,1,1,1,True
219299,Police Station 219299,219299,219299,1,1,1,True
294834,Police Station 294834,294834,294834,1,1,1,True
284544,Police Station 284544,284544,284544,1,1,1,True
286239,Police Station 286239,286239,286239,1,1,1,True
278655,Police Station 278655,278655,278655,1,1,1,True
278762,Police Station 278762,278762,278762,1,1,1,True
260666,Police Station 260666,260666,260666,1,1,1,True
260569,Police Station 260569,260569,260569,1,1,1,True
255831,Police Station 255831,255831,255831,1,1,1,True
258540,Police Station 258540,258540,258540,1,1,1,True
291289,Police Station 291289,291289,291289,1,1,1,True
205264,Police Station 205264,205264,205264,1,1,1,True
212142,Police Station 212142,212142,212142,1,1,1,True
201440,Police Station 201440,201440,201440,1,1,1,True
212025,Police Station 212025,212025,212025,1,1,1,True
